ID,PjBL01,PjBL02,PjBL03,PjBL04,PjBL05,TK_pre,PK_pre,CK_pre,TPK_pre,TCK_pre,PCK_pre,TPACK_pre,S_pre,T_pre,E_pre,M_pre,ESD_PCK_pre,ESD_INQ_pre,ESD_EVA_pre,TPACK_total_pre,STEM_total_pre,ESD_total_pre,RPPInt_total_pre,TK_post,PK_post,CK_post,TPK_post,TCK_post,PCK_post,TPACK_post,S_post,T_post,E_post,M_post,ESD_PCK_post,ESD_INQ_post,ESD_EVA_post,TPACK_total_post,STEM_total_post,ESD_total_post,RPPInt_total_post
ID-1,4,3,3,4,4,2.119047619047619,2.9761904761904763,3.0238095238095237,2.3095238095238093,2.261904761904762,3.0952380952380953,2.261904761904762,3.1666666666666665,2.3333333333333335,2.738095238095238,2.0,1.5909090909090908,1.7692307692307692,1.4,2.578231292517007,2.5595238095238093,1.5867132867132867,2.241489462918034,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,2.727272727272727,3.0,3.0,3.5,3.5,2.9090909090909087,3.3030303030303028
ID-2,3,3,3,4,4,2.6666666666666665,3.3333333333333335,3.3333333333333335,3.0,3.0,3.3333333333333335,3.3333333333333335,2.6666666666666665,2.3333333333333335,2.6666666666666665,2.3333333333333335,2.1363636363636362,2.3076923076923075,1.8,3.142857142857143,2.5,2.081351981351981,2.5747363747363745,3.6666666666666665,4.0,3.8333333333333335,3.5,3.8333333333333335,3.8333333333333335,3.8333333333333335,3.5,3.8333333333333335,3.1666666666666665,3.1666666666666665,3.0,3.0,3.0,3.785714285714285,3.4166666666666665,3.0,3.4007936507936507
ID-3,4,3,3,4,4,2.0,2.98,2.6666666666666665,2.3333333333333335,3.0,3.6666666666666665,3.0,2.3333333333333335,3.0,2.6666666666666665,2.3333333333333335,2.409090909090909,2.0,2.4,2.806666666666667,2.5833333333333335,2.2696969696969695,2.5532323232323235,3.0,3.83,4.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,2.909090909090909,3.0,3.0,3.404285714285714,4.0,2.96969696969697,3.4579942279942277
ID-4,4,4,4,4,4,1.3333333333333333,3.0,2.6666666666666665,1.6666666666666667,1.3333333333333333,3.0,1.3333333333333333,3.0,2.0,2.6666666666666665,2.0,2.0,1.8461538461538463,1.8,2.047619047619048,2.4166666666666665,1.8820512820512822,2.1154456654456655,4.0,3.3333333333333335,3.6666666666666665,3.6666666666666665,3.3333333333333335,4.0,3.3333333333333335,3.6666666666666665,3.6666666666666665,3.6666666666666665,3.0,2.91,3.0,3.0,3.619047619047619,3.5,2.97,3.3630158730158732
ID-5,4,3,3,4,4,2.3333333333333335,3.0,2.33,2.3333333333333335,2.3333333333333335,2.0,2.6666666666666665,2.33,2.75,2.0,2.0,2.5454545454545454,2.6153846153846154,2.8,2.4280952380952385,2.27,2.6536130536130536,2.4505694305694306,3.0,3.0,3.67,3.0,2.75,3.75,3.95,3.25,3.95,3.5,3.33,3.0,3.0,3.0,3.302857142857143,3.5075,3.0,3.2701190476190476
ID-6,4,3,3,4,4,2.6666666666666665,3.0,3.0,1.33,2.3333333333333335,1.33,2.0,2.33,3.0,2.6666666666666665,1.6666666666666667,2.3636363636363638,2.6923076923076925,2.2,2.237142857142857,2.415833333333333,2.418648018648019,2.35720806970807,3.5,3.5,3.67,3.75,3.0,3.25,3.75,3.67,3.0,3.25,2.75,3.0,3.0,3.0,3.488571428571429,3.1675,3.0,3.2186904761904764
ID-7,4,3,4,4,4,2.3333333333333335,3.0,2.0,2.6666666666666665,3.0,3.6666666666666665,2.6666666666666665,2.6666666666666665,3.0,2.6666666666666665,1.6666666666666667,1.9545454545454546,2.230769230769231,1.8,2.7619047619047623,2.4999999999999996,1.9951048951048949,2.4190032190032187,4.0,4.0,3.3333333333333335,3.3333333333333335,3.6666666666666665,4.0,3.0,3.6666666666666665,4.0,3.6666666666666665,4.0,2.9545454545454546,3.0,3.0,3.6190476190476195,3.833333333333333,2.984848484848485,3.479076479076479
ID-8,4,3,3,4,4,2.0,3.0,2.3333333333333335,2.3333333333333335,1.33,3.3333333333333335,2.0,2.0,2.0,2.6666666666666665,1.0,1.7272727272727273,1.9230769230769231,2.8,2.332857142857143,1.9166666666666665,2.1501165501165502,2.1332134532134535,2.25,4.0,3.0,2.75,3.25,4.0,2.5,3.0,3.25,2.75,2.25,3.0,3.0,3.0,3.107142857142857,2.8125,3.0,2.973214285714286
ID-9,4,4,4,4,4,1.3333333333333333,3.3333333333333335,3.3333333333333335,1.6666666666666667,1.3333333333333333,3.0,1.3333333333333333,2.6666666666666665,1.3333333333333333,2.3333333333333335,2.0,1.2272727272727273,1.6153846153846154,1.8,2.1904761904761907,2.0833333333333335,1.5475524475524474,1.9404539904539904,3.3333333333333335,3.6666666666666665,3.3333333333333335,3.6666666666666665,3.6666666666666665,3.3333333333333335,3.0,3.3333333333333335,3.0,3.0,3.3333333333333335,2.8636363636363638,3.0,3.0,3.4285714285714284,3.166666666666667,2.9545454545454546,3.1832611832611835
ID-10,4,3,4,4,4,2.0,2.0,3.3333333333333335,1.6666666666666667,2.0,3.3333333333333335,1.6666666666666667,3.6666666666666665,2.0,2.3333333333333335,2.3333333333333335,1.8636363636363635,2.0,1.8,2.2857142857142856,2.5833333333333335,1.8878787878787877,2.2523088023088023,3.25,3.5,4.0,3.25,3.25,4.0,3.75,3.75,3.5,4.0,4.0,2.9545454545454546,2.8461538461538463,3.0,3.5714285714285716,3.8125,2.9335664335664333,3.4391650016650015
ID-11,4,4,4,4,4,1.5,3.0,3.0,1.75,1.5,3.25,1.75,2.5,1.75,1.75,1.0,1.2727272727272727,1.6923076923076923,1.2,2.25,1.75,1.3883449883449883,1.796114996114996,3.5,3.5,3.5,3.5,3.5,3.5,4.0,3.5,3.5,3.0,4.0,2.909090909090909,3.0,3.0,3.5714285714285716,3.5,2.96969696969697,3.3470418470418473
ID-12,4,3,3,4,4,2.6666666666666665,2.6666666666666665,3.0,2.6666666666666665,2.3333333333333335,3.0,2.6666666666666665,3.3333333333333335,2.6666666666666665,2.3333333333333335,1.6666666666666667,2.1363636363636362,2.3846153846153846,1.6,2.7142857142857144,2.5,2.0403263403263403,2.4182040182040185,3.6666666666666665,3.3333333333333335,3.6666666666666665,3.6666666666666665,3.0,3.3333333333333335,3.3333333333333335,3.3333333333333335,4.0,3.3333333333333335,3.3333333333333335,3.0,3.0,3.0,3.428571428571428,3.5000000000000004,3.0,3.3095238095238098
ID-13,3,3,4,4,4,2.3333333333333335,3.0,3.0,2.3333333333333335,2.3333333333333335,3.3333333333333335,2.3333333333333335,3.3333333333333335,2.3333333333333335,3.3333333333333335,3.0,1.8181818181818181,1.6153846153846154,2.0,2.666666666666667,3.0,1.811188811188811,2.4926184926184924,3.8,3.8,3.6,3.2,3.4,3.6,3.8,3.4,3.8,3.4,3.6,2.9545454545454546,3.0,3.0,3.6,3.55,2.984848484848485,3.378282828282828
ID-14,3,3,3,4,4,2.6666666666666665,2.6666666666666665,3.3333333333333335,3.3333333333333335,3.0,3.6666666666666665,2.3333333333333335,3.3333333333333335,3.0,3.0,3.0,1.4090909090909092,1.9230769230769231,1.8,3.0,3.0833333333333335,1.7107226107226108,2.5980186480186482,3.67,3.0,3.67,3.67,3.33,3.67,3.0,3.67,3.33,3.33,3.33,2.6818181818181817,2.6153846153846154,2.6,3.4299999999999997,3.415,2.632400932400932,3.1591336441336444
ID-15,4,3,3,4,4,1.6666666666666667,3.0,3.0,2.3333333333333335,2.6666666666666665,2.0,2.3333333333333335,3.0,1.6666666666666667,2.3333333333333335,2.6666666666666665,1.73,1.92,1.8,2.4285714285714284,2.4166666666666665,1.8166666666666667,2.2206349206349203,3.5,3.75,3.75,3.75,3.75,3.75,3.5,3.75,3.75,3.5,3.5,2.8181818181818183,2.6923076923076925,2.6,3.6785714285714284,3.625,2.703496503496504,3.335689310689311
ID-16,3,3,4,4,4,1.6666666666666667,2.3333333333333335,2.0,2.0,2.3333333333333335,2.3333333333333335,2.6666666666666665,2.6666666666666665,2.0,1.6666666666666667,1.6666666666666667,1.8,1.73,1.92,2.1904761904761907,2.0,1.8166666666666667,2.0023809523809524,3.5,3.5,2.75,2.75,3.25,2.75,3.0,3.25,3.25,3.25,2.75,2.727272727272727,2.4615384615384617,3.0,3.0714285714285716,3.125,2.7296037296037294,2.9753441003441004
ID-17,3,3,3,3,4,2.0,2.98,3.25,2.75,2.5,3.25,1.75,2.5,2.5,3.0,2.5,1.7727272727272727,1.8461538461538463,1.6,2.64,2.625,1.73962703962704,2.33487567987568,3.25,3.5,3.25,3.25,3.25,3.25,3.0,2.75,3.0,3.0,2.75,2.772727272727273,2.923076923076923,3.0,3.25,2.875,2.8986013986013988,3.007867132867133
ID-18,4,3,3,4,4,2.3333333333333335,3.3333333333333335,2.33,1.33,1.0,3.3333333333333335,2.0,1.33,3.0,3.3333333333333335,2.0,2.272727272727273,2.3846153846153846,2.4,2.2371428571428575,2.4158333333333335,2.3524475524475523,2.3351412476412476,2.75,3.5,3.25,3.67,3.25,3.75,3.5,3.25,3.25,3.5,3.33,2.9545454545454546,3.0,3.0,3.3814285714285717,3.3325,2.984848484848485,3.2329256854256854
