Indicator,Pre_Mean,Pre_SD,Post_Mean,Post_SD,Mean_Diff
TK,2.0179,0.54,3.1921,0.476,1.1742
PK,2.6668,0.5029,3.5425,0.3547,0.8757
CK,2.4405,0.7584,3.376,0.3969,0.9355
TPK,2.0785,0.5861,3.1832,0.4929,1.1047
TCK,2.1307,0.5804,3.1858,0.4797,1.0551
PCK,2.7397,0.6337,3.5874,0.3184,0.8477
TPACK,2.0676,0.531,3.1662,0.6058,1.0986
S,2.4477,0.5807,3.3903,0.3454,0.9426
T,2.193,0.5965,3.3378,0.4986,1.1448
E,2.3701,0.5777,3.2297,0.4537,0.8596
M,1.6765,0.5979,2.9317,0.7595,1.2552
ESD_PCK,1.8946,0.4156,2.6861,0.3153,0.7915
ESD_INQ,1.972,0.4249,2.7257,0.3054,0.7536
ESD_EVA,1.9192,0.4698,2.7674,0.2927,0.8482
