Construct,Indicator,Loading,Weight,Communality,Redundancy,Loading_OK_0.708
ESD,ESD_EVA_post,0.7804409027499275,0.6816003299527763,0.6090880026851218,0.22782229224613837,Yes
ESD,ESD_INQ_post,0.8941836790105984,0.9634046414254448,0.7995644518089288,0.2990677954689696,Yes
ESD,ESD_PCK_post,0.866612405152517,0.9008134225060913,0.7510170607642304,0.28090920777455625,Yes
PjBL,PjBL01,0.8107129792039248,0.19536851539870295,0.6572555346497034,0.0,Yes
PjBL,PjBL02,0.8337789696371521,0.19885700393754124,0.6951873702091911,0.0,Yes
PjBL,PjBL03,0.8465343994975819,0.18944439701003035,0.7166204895327316,0.0,Yes
PjBL,PjBL04,0.8565898333117967,0.19546290199896857,0.7337461425331316,0.0,Yes
RPP,RPPInt_total_post,0.9999999999999997,2.8105247975152317,0.9999999999999993,0.9780483376577004,Yes
STEM,E_post,0.5784375531355925,0.2649096416576256,0.3345900028774914,0.1507628355616232,No
STEM,M_post,0.9140188098623502,0.5984593624059692,0.835430384782187,0.37643639272216134,Yes
STEM,S_post,0.4854972963930619,0.2193334637829358,0.2357076248049726,0.10620744664658789,No
STEM,T_post,0.7158800847753689,0.4013194117575804,0.5124842957779894,0.23092018574320938,Yes
TPACK,CK_post,0.6725717971079914,0.24517697293179908,0.4523528222650732,0.23305836852209286,No
TPACK,PCK_post,0.4008915871405718,0.18568487309983353,0.1607140646400867,0.08280208691087632,No
TPACK,PK_post,0.224132741922795,0.03905306065537965,0.050235486001830226,0.02588201030973199,No
TPACK,TCK_post,0.795441125137184,0.418842418587089,0.6327265835595093,0.3259894003679408,Yes
TPACK,TK_post,0.6895979066718437,0.3075021494017469,0.4755452728861889,0.24500743667805333,No
TPACK,TPACK_post,0.7579682309097179,0.4078441562240936,0.5745158390684074,0.29599842767184736,Yes
TPACK,TPK_post,0.7598425781972712,0.33305365753074084,0.5773607436414762,0.2974641614658369,Yes
