used_in_paper,source_file,author,year,title,doi,journal,pdf_downloaded,pdf_file,reference
yes,all_references.csv,"Portillo-Blanco, A., Zuza, K., Gutierrez-Jimenez, E., Guisasola, J., & Gutierrez-Berraondo, J",2025,"Building an autonomous car: Designing, implementing, and evaluating an integrated STEM teaching-learning sequence for pre-service secondary teachers",10.3390/educsci15040406,,no,,"Portillo-Blanco, A., Zuza, K., Gutierrez-Jimenez, E., Guisasola, J., & Gutierrez-Berraondo, J. (2025). Building an autonomous car: Designing, implementing, and evaluating an integrated STEM teaching-learning sequence for pre-service secondary teachers. *Education Sciences, 15*(4), 406. https://doi.org/10.3390/educsci15040406"
yes,all_references.csv,"Yuksel, A. O",2025,Design-based STEM activities in teacher education and its effect on pre-service science teachers' design thinking skills,10.1007/s10956-025-10215-2,,yes,openalex_10_1007_s10956-025-10215-2.pdf,"Yuksel, A. O. (2025). Design-based STEM activities in teacher education and its effect on pre-service science teachers' design thinking skills. *Journal of Science Education and Technology*. https://doi.org/10.1007/s10956-025-10215-2"
yes,all_references.csv,"Salleh, M. F. M., Awang, M. I., & Aziz, N. A. A",2025,How pre-service science teachers develop TPACK competence: A systematic literature review,10.15294/jpii.v14i1.16819,,no,,"Salleh, M. F. M., Awang, M. I., & Aziz, N. A. A. (2025). How pre-service science teachers develop TPACK competence: A systematic literature review. *Jurnal Pendidikan IPA Indonesia, 14*(1), 168–179. https://doi.org/10.15294/jpii.v14i1.16819"
yes,all_references.csv,"Novallyan, D., & Nehru",2025,Optimization of teaching profession courses through project methods: Impact on biology education students,10.57092/ijetz.v4i2.431,,no,,"Novallyan, D., & Nehru. (2025). Optimization of teaching profession courses through project methods: Impact on biology education students. *International Journal of Education, Technology, and Science, 4*(2), 431. https://doi.org/10.57092/ijetz.v4i2.431"
yes,all_references.csv,"Vidal, S., & Kuckuck, M",2025,Pre-service teacher action competence in education for sustainable development: A scoping review,10.3390/su17093856,,no,,"Vidal, S., & Kuckuck, M. (2025). Pre-service teacher action competence in education for sustainable development: A scoping review. *Sustainability, 17*(9), 3856. https://doi.org/10.3390/su17093856"
yes,all_references.csv,"Offermann, L. R., Pham, H. T., Baskerville, K. A., & Langkamer, K. L",2025,Technological pedagogical content knowledge (TPACK) among educators: A meta-analytic review,10.3389/fpsyg.2025.1656795,,no,,"Offermann, L. R., Pham, H. T., Baskerville, K. A., & Langkamer, K. L. (2025). Technological pedagogical content knowledge (TPACK) among educators: A meta-analytic review. *Frontiers in Psychology, 16*, Article 1656795. https://doi.org/10.3389/fpsyg.2025.1656795"
yes,all_references.csv,"Ozdemir-Yilmazer, M",2025,Towards a holistic understanding of sustainable development in teacher education: Insights from pre-service teachers' cross-curricular lesson planning,10.1111/ejed.70229,,no,,"Ozdemir-Yilmazer, M. (2025). Towards a holistic understanding of sustainable development in teacher education: Insights from pre-service teachers' cross-curricular lesson planning. *European Journal of Education, 60*(4). https://doi.org/10.1111/ejed.70229"
yes,all_references.csv,"Calero, M., Pina, T., Mayoral, O., Canto, J., Ull, M. A., & Vilches, A",2024,A study about pre-service teachers' knowledge of the Sustainable Development Goals,10.1108/IJSHE-07-2023-0284,,no,,"Calero, M., Pina, T., Mayoral, O., Canto, J., Ull, M. A., & Vilches, A. (2024). A study about pre-service teachers' knowledge of the Sustainable Development Goals. *International Journal of Sustainability in Higher Education, 26*(2), 352-371. https://doi.org/10.1108/IJSHE-07-2023-0284"
yes,all_references.csv,"Pitot, L. N., McHugh, M. L., & Kosiak, J",2024,Establishing a PBL STEM framework for pre-service teachers,10.3390/educsci14060571,,no,,"Pitot, L. N., McHugh, M. L., & Kosiak, J. (2024). Establishing a PBL STEM framework for pre-service teachers. *Education Sciences, 14*(6), 571. https://doi.org/10.3390/educsci14060571"
yes,all_references.csv,"Tucker, S. I., Lommatsch, C. W., Burroughs, E. A., & Yopp, D",2024,Examining STEM integration in elementary mathematics methods courses,10.31756/jrsmte.313si,,no,,"Tucker, S. I., Lommatsch, C. W., Burroughs, E. A., & Yopp, D. (2024). Examining STEM integration in elementary mathematics methods courses. *Journal of Research in STEM Education, 10*(SI), Article 313. https://doi.org/10.31756/jrsmte.313si"
